converged,n_cells,beta_treatment,p_treatment,beta_respiration,p_respiration,beta_interaction,p_interaction,feature,fluorophore,n_bottles,q_interaction,q_treatment
True,605.0,-82.88278046739617,0.0028196225601707084,1.2606807434991085e-13,1.0,28.649067581148188,0.055600548875142104,area_px,DAPI,7,0.1819654326822909,0.006344150760384225
True,605.0,-0.23281833566019483,0.0028196225601707665,3.5412614157626814e-16,1.0,0.08047544007145274,0.05560054887514445,area_um2,DAPI,7,0.1819654326822909,0.006344150760384225
True,605.0,-0.9930802017943949,0.0018394453401549761,-0.34054507219451646,0.018405940119207664,0.3815145440948361,0.022274073460781668,perimeter_um,DAPI,7,0.10981492347930544,0.005093848634275319
True,605.0,-164.11636320813966,0.007653147068108833,2.456565524408641e-13,1.0,52.992795839946155,0.11033521048212272,eq_diameter_nm,DAPI,7,0.2648045051570945,0.014500699707995683
True,605.0,-243.09084346523025,0.006264741531773539,3.5592130414342615e-13,1.0,71.0177313524947,0.13868925086902215,major_axis_nm,DAPI,7,0.31205081445529986,0.012529483063547078
True,605.0,-122.73682613806767,0.016678155135936405,1.9107335799802714e-13,1.0,46.55014932657221,0.09232353860417009,minor_axis_nm,DAPI,7,0.23740338498215163,0.030020679244685527
True,605.0,-0.0797766266585831,0.452407554813957,8.108270184586139e-17,1.0,-0.010294555638006464,0.8573259308486552,aspect_ratio,DAPI,7,0.8670928812413992,0.5089584991657017
True,605.0,-0.012758665419390393,0.1784303214468249,-0.00643975202993258,0.1871313671998741,0.0066894933057480765,0.1913489787465955,solidity,DAPI,7,0.3444281617438719,0.23790709526243323
True,605.0,-0.025804892323457868,0.530427541244982,0.00017092293271161172,0.9933940146477083,-0.01802840960318259,0.423969396160645,eccentricity,DAPI,7,0.5789530048192936,0.5616291613182163
True,605.0,-1051.4650602069858,1.7518390352672744e-15,-224.65642803572229,0.027130865230921147,244.85224487491766,0.000589634150284678,raw_mean,DAPI,7,0.005306707352562103,3.153310263481094e-14
True,605.0,-1041.2270968983275,3.5659008393729625e-15,1.4520606452466334e-12,1.0,236.04017725113135,0.000941082940086527,raw_median,DAPI,7,0.006432841745207841,4.2790810072475554e-14
True,605.0,-365669.23525767494,5.638833668841573e-11,5.45250884215291e-10,1.0,116099.56497951725,0.00011451455102182449,raw_sum,DAPI,7,0.002061261918392841,5.074950301957416e-10
True,605.0,-1289.4583829191033,1.8067723793079898e-08,1.7762127090609062e-12,1.0,271.5975600550423,0.027914213333087527,raw_max,DAPI,7,0.1116568533323501,9.29197223644109e-08
True,605.0,-564.5933294087217,2.948155731069031e-20,7.73893045182741e-13,1.0,115.3199330629825,0.00047947108435030325,raw_min,DAPI,7,0.005306707352562103,1.0613360631848512e-18
True,605.0,-241.41285403584448,2.0518251995570802e-05,3.3676316970012587e-13,1.0,54.81799132542699,0.07294653373646393,raw_std,DAPI,7,0.21883960120939178,7.386570718405488e-05
True,605.0,0.021178862308672025,0.3390420438035183,-2.1968676765291863e-17,1.0,0.0023161983779469014,0.8462848110294312,raw_cv,DAPI,7,0.8670928812413992,0.393726244416989
True,605.0,-0.06691638980634868,0.057733497330741276,-0.015126422925899635,0.3834645744758933,0.01871744974382123,0.34751520159011096,raw_entropy,DAPI,7,0.543936837271478,0.08660024599611192
True,605.0,0.21438872724372637,0.002347828642039826,-3.0207461016581516e-16,1.0,-0.05151211069398498,0.1753169307244653,raw_skew,DAPI,7,0.33784119271612595,0.006037273650959552
True,605.0,0.22264279493789352,0.022862656701760773,-3.10194346239321e-16,1.0,-0.05019352460999982,0.3414823679577398,raw_kurtosis,DAPI,7,0.543936837271478,0.03578502788101687
True,605.0,-161.95574294017615,1.6419762513440803e-06,-41.351248236403116,0.08599543122637397,31.184918732813095,0.08663421492109612,mssr_mean,DAPI,7,0.23740338498215163,7.388893131048362e-06
True,605.0,-55.20229168263876,0.0040894836390882984,6.824179092351763e-14,1.0,4.291654528078993,0.6789724749553626,mssr_median,DAPI,7,0.788484164464292,0.00866008300042228
True,605.0,-55220.9674676008,2.1654654918670446e-09,8.100560125631644e-11,1.0,16277.239975843026,0.0010721402908679734,mssr_sum,DAPI,7,0.006432841745207841,1.2992792951202268e-08
True,605.0,-1008.5723839118127,7.388242492606505e-05,1.359846267766955e-12,1.0,184.73408021717796,0.17830507393351092,mssr_max,DAPI,7,0.33784119271612595,0.0002417970270307583
False,,,,,,,,mssr_min,DAPI,7,,
True,605.0,-196.64161686369607,1.112489523117632e-05,2.620555756023503e-13,1.0,33.1261955488211,0.16992496458992135,mssr_std,DAPI,7,0.33784119271612595,4.449958092470528e-05
True,605.0,-0.0031073569674815726,0.9558520796880503,1.780666162733899e-17,1.0,0.013377575615164505,0.6585716837655234,mssr_cv,DAPI,7,0.788484164464292,0.9558520796880503
True,605.0,0.017529670965530146,0.7915074286857833,0.00831038797766355,0.8020155019106235,-0.028601494076712922,0.43421475361447015,mssr_entropy,DAPI,7,0.5789530048192936,0.8141219266482342
True,605.0,0.1889279340689034,0.2712176216032052,-2.344171621457538e-16,1.0,-0.015498843885819347,0.8670928812413992,mssr_skew,DAPI,7,0.8670928812413992,0.33668394405915125
True,605.0,1.4410344596857492,0.2567991211845343,-1.8564506019135394e-15,1.0,-0.18260178597080934,0.7899135256376247,mssr_kurtosis,DAPI,7,0.8670928812413992,0.3301702986658298
True,605.0,-1.1023622307307548,0.0006796382342358063,1.6903587770642845e-15,1.0,0.39385214211703956,0.02440331632873454,raw_n_local_maxima,DAPI,7,0.10981492347930544,0.002038914702707419
True,605.0,-0.7011525390860132,0.15517656698755516,1.054365299741801e-15,1.0,0.23096206401576924,0.3853046875776619,raw_n_local_minima,DAPI,7,0.5671004435768039,0.21485986198276869
True,605.0,0.016108650140484237,0.14364567411875853,-2.165724907185337e-17,1.0,-0.0028923425603989902,0.6263818089280181,raw_frac_dark,DAPI,7,0.7854591092379059,0.2068497707310123
True,605.0,0.037040186311475654,0.022747948848445283,-5.067952679053371e-17,1.0,-0.007479240395414241,0.39381975248389156,raw_frac_bright,DAPI,7,0.5671004435768039,0.03578502788101687
True,605.0,-0.92944831113974,0.021820033324857498,1.3392465344041856e-15,1.0,0.2512118510892085,0.2504218048548478,mssr_n_local_maxima,DAPI,7,0.42929452260831047,0.03578502788101687
True,605.0,-9.02365059658035,1.7820746940065387e-09,-3.314128170111036,7.799930297975326e-05,3.667694571015061,3.86489095455022e-05,mssr_n_local_minima,DAPI,7,0.0013913607436380794,1.2830937796847078e-08
True,605.0,-0.011666531702369573,0.49893080113927146,1.8185907278568676e-17,1.0,0.004447098156679761,0.6327309491083131,mssr_frac_dark,DAPI,7,0.7854591092379059,0.5442881466973871
True,605.0,-0.007625320965748986,0.30117085965972457,8.003478240961835e-18,1.0,-0.0007457133611308009,0.8512909889307954,mssr_frac_bright,DAPI,7,0.8670928812413992,0.3614050315916695
True,902.0,-12.425123716455673,0.35446339083168177,-16.280204479019638,0.9999996993244418,2.0794917739616374,0.7919512581205961,area_px,SYBR,7,0.8139499041795104,0.4098482956491396
True,902.0,-0.03490226326534904,0.3544633908316883,-0.1631128543762467,0.9999989275585531,0.005841307580447833,0.7919512581206047,area_um2,SYBR,7,0.8139499041795104,0.4098482956491396
True,902.0,-0.2911819183516326,0.030330162970143067,-0.05988725533541692,0.9999998896118648,0.04727415353051144,0.5495154503659831,perimeter_um,SYBR,7,0.7040821931277943,0.06234533499418297
True,902.0,-51.95425521205103,0.07681399131165652,-32.7197811351784,0.2534747303251833,17.086941146789993,0.3212885094295872,eq_diameter_nm,SYBR,7,0.5463855931261561,0.12918716720596776
True,902.0,-91.19102657051654,0.026380558865052906,-72.48305225022953,0.9999995625874596,14.355374376079236,0.5518482054244874,major_axis_nm,SYBR,7,0.7040821931277943,0.0574165104709975
True,902.0,-31.936729780012243,0.20170142955229342,-29.627930855654768,0.2547422654409902,18.656068966027583,0.20355637040800023,minor_axis_nm,SYBR,7,0.4254709918978652,0.2764056627198095
True,902.0,-0.09882592692615691,0.04962455771291357,0.05297383748840491,0.9999997392071264,-0.015757781490163252,0.594165528955064,aspect_ratio,SYBR,7,0.7328041523779123,0.09663729659883169
True,902.0,0.024727401513224095,2.469290079953703e-07,0.07934484343721979,0.999995896683884,-0.003321746073556089,0.23806158872378091,solidity,SYBR,7,0.4404139391389947,9.1363732958287e-06
True,902.0,-0.04086587502534758,0.09012343700361936,-0.12937509666737007,0.9999986703465609,-0.005956739649783737,0.6741393870177419,eccentricity,SYBR,7,0.7794736662392641,0.13894029871391317
True,902.0,334.4756147888595,2.4842192126503045e-05,54.41316498688901,0.3351138206803719,153.59834226966717,0.0010550470009950193,raw_mean,SYBR,7,0.013012246345605237,0.00022979027717015316
True,902.0,290.41441693551957,0.00035351467672611,244.01228778471682,0.9999992560971649,171.14421390217205,0.00033900099132343523,raw_median,SYBR,7,0.0062829127445523155,0.0010900035865721725
True,902.0,30652.130577797805,0.08396857594194586,-24180.7365445807,0.999999662150049,28690.89511405206,0.005901218743504861,raw_sum,SYBR,7,0.043669018701935965,0.13507988303704335
True,902.0,631.0647649100938,2.293352815981094e-06,601.068206603522,0.9999988845277469,190.38831676128018,0.015236442242033781,raw_max,SYBR,7,0.08053548042217855,4.242702709565024e-05
True,902.0,174.15651768628723,7.671192350354301e-06,-56.17179488437621,0.9999996423700387,81.93957400015171,0.000339616905110936,raw_min,SYBR,7,0.0062829127445523155,9.461137232103638e-05
True,902.0,127.08369459260506,7.562133384452261e-05,27.61486527102872,0.9999997868632906,41.79593954991562,0.026718706060024133,raw_std,SYBR,7,0.09322716755767277,0.0004663315587078894
True,902.0,0.017575626219226877,0.15180412033624693,0.0042684247937684735,0.46205141233682434,-0.008945662431385755,0.2163678153159031,raw_cv,SYBR,7,0.4254709918978652,0.21602894047850524
True,902.0,-0.001616609981041299,0.9424962567393348,0.5442623506811681,0.9999939816243024,-0.018089502348461198,0.1694874498259804,raw_entropy,SYBR,7,0.3919397277225797,0.9686767083154274
True,902.0,0.09167856741496112,0.00834149403453563,0.017411610568994505,0.9999998758412455,-0.0629801529365625,0.002038953167450004,raw_skew,SYBR,7,0.018860316798912535,0.020575685285187884
True,902.0,-0.03078028988144139,0.5700781244183908,0.004386469657872258,0.8819652761635932,-0.03925617261746697,0.21848510394755238,raw_kurtosis,SYBR,7,0.4254709918978652,0.620379135396484
True,902.0,95.003219720584,0.00012875178905389712,-10.625845523812362,0.9999998938706671,31.58943601586901,0.03023583812681279,mssr_mean,SYBR,7,0.09322716755767277,0.0005168033480784075
True,902.0,51.93251733433857,0.00012726619641955568,9.675192957686818,0.25719320314881244,17.7522773622012,0.027075677131675475,mssr_median,SYBR,7,0.09322716755767277,0.0005168033480784075
True,902.0,8799.607746087464,0.02369838963602918,9615.824105228237,0.9999993874289745,5685.421306301543,0.012861955623531063,mssr_sum,SYBR,7,0.07931539301177488,0.05480252603331748
True,902.0,575.9328841321296,7.029062742274144e-05,-15.960177737603388,0.999999972698943,139.12887278310762,0.1021408024076065,mssr_max,SYBR,7,0.2591121064668485,0.0004663315587078894
True,902.0,-0.04807610826164733,0.7761141160661299,0.021395617328177602,0.7645542957271303,0.07858079631320575,0.4350317076917556,mssr_min,SYBR,7,0.6190835840228829,0.8204634941270517
True,902.0,117.87878905547672,0.00010552648496053415,50.719871828859155,0.9999995865335357,33.32576694119964,0.06205749363745528,mssr_std,SYBR,7,0.1766251741989112,0.0005168033480784075
True,902.0,-0.12293249577426857,0.0002973979171946373,0.08024484160330049,0.9999994147931315,0.01635651958624337,0.4126338345917897,mssr_cv,SYBR,7,0.6106980751958487,0.0010003384487455981
True,902.0,0.16648523163666282,0.00013967658056173175,-0.4785599729074012,0.9999972867754863,-0.025282294894174603,0.3248779202371739,mssr_entropy,SYBR,7,0.5463855931261561,0.0005168033480784075
True,902.0,-0.18634512060918043,0.06541661881712003,-0.33745742230405823,0.9999991731463044,-0.000718311585037145,0.9903551704107331,mssr_skew,SYBR,7,0.9903551704107331,0.11525785220159245
True,902.0,-1.4289224421831725,0.0543265766818225,-0.6432797907049502,0.13374158705384032,0.20297773584917295,0.643953360808487,mssr_kurtosis,SYBR,7,0.7685894951585167,0.10050416686137162
True,902.0,-0.15363966778315194,0.4442583680773011,0.8140208653539246,0.9999989955001112,0.2574562811705508,0.029107449711563694,raw_n_local_maxima,SYBR,7,0.09322716755767277,0.4981078672381861
True,902.0,-0.005977217078516209,0.9828727725740303,0.562896267071626,0.9999994989818978,-0.13553930404951858,0.4073438689532969,raw_n_local_minima,SYBR,7,0.6106980751958487,0.9828727725740303
True,902.0,0.010929611661317479,0.09953490756821386,0.005728516245853725,0.06900646840978839,-0.003491957206987486,0.37572120980871093,raw_frac_dark,SYBR,7,0.6044210766487959,0.1473116632009565
True,902.0,0.024844070762691132,0.007327966771951109,0.005588855160397121,0.2113740974825623,-0.012277201446531482,0.02582278502561307,raw_frac_bright,SYBR,7,0.09322716755767277,0.019366769325870788
True,902.0,-0.22999090600005273,0.26080174802833067,0.31765982431918344,0.9999996150945176,0.032362913475461476,0.7876770829231121,mssr_n_local_maxima,SYBR,7,0.8139499041795104,0.33274705782924946
True,902.0,-1.2120506515104084,0.27216938665076573,-1.5089017375303144,0.9999996612197813,-0.23566673912760686,0.7162979949872574,mssr_n_local_minima,SYBR,7,0.8031219943796523,0.33567557686927774
True,902.0,-0.027595977500613333,0.006719761045663744,-0.0494684926240614,0.9999987958972196,0.0040749021603241455,0.49572515548353546,mssr_frac_dark,SYBR,7,0.679327064921882,0.019125473745350653
