session,image_uid,image_id,cell_id,area_px,area_um2,perimeter_um,eq_diameter_nm,major_axis_nm,minor_axis_nm,aspect_ratio,solidity,eccentricity,raw_mean,raw_median,raw_sum,raw_max,raw_min,raw_std,raw_cv,raw_entropy,raw_skew,raw_kurtosis,mssr_mean,mssr_median,mssr_sum,mssr_max,mssr_min,mssr_std,mssr_cv,mssr_entropy,mssr_skew,mssr_kurtosis,raw_n_local_maxima,raw_n_local_minima,raw_frac_dark,raw_frac_bright,mssr_n_local_maxima,mssr_n_local_minima,mssr_frac_dark,mssr_frac_bright,bottle,treatment,fluorophore,int_sample,respiration_uM_O2_h,temperature_C,is_control,field_idx
260327,260327/9D-405-01,9D-405-01,1,116,0.3258448471960521,2.140395926989768,644.1106619969895,682.0427824353933,616.8624042823981,1.1056643713419692,0.9133858267716536,0.4266144346993571,589.3706896551724,549.0,68367.0,1027.0,261.0,216.2441265418973,0.366906821695556,3.3013168483621933,0.3329718806243727,-0.9774190392138412,125.12323665927195,37.145877838134766,14514.295452475548,979.0,0.0,199.05666963457256,1.5908849143395454,2.084044933416876,2.3942099246035737,6.101469683390109,1,2,0.0689655172413793,0.1206896551724138,2,5,0.5603448275862069,0.2068965517241379,13,INT,DAPI,9.0,2.11,16.0,False,1
260327,260327/9D-405-01,9D-405-01,2,93,0.2612376792175245,2.056349136534714,576.7305642625431,672.6570505718588,533.9828953752832,1.259697747620016,0.8691588785046729,0.6081250803890278,533.8709677419355,493.0,49650.0,994.0,250.0,201.91292924375207,0.3782054868009857,3.1403207765712526,0.4058048557484079,-0.9947101768013068,100.8724775942423,41.13317489624024,9381.140416264534,846.4922485351562,0.0,157.94300322493152,1.5657690481268276,2.0147515196918158,2.4428690344210326,6.655216834213391,1,2,0.032258064516129,0.1397849462365591,1,2,0.5698924731182796,0.1935483870967742,13,INT,DAPI,9.0,2.11,16.0,False,1
260327,260327/9D-405-01,9D-405-01,3,161,0.452250175849693,3.238977224397421,758.829893984983,1190.6243566217436,503.2299257390691,2.365964931185545,0.8429319371727748,0.906288074202636,420.639751552795,405.0,67723.0,710.0,243.0,115.15720520201022,0.2737668153732653,3.264306491363141,0.353469439809044,-0.9624051280441784,66.90654316100274,29.53690528869629,10771.953448921442,437.869384765625,0.0,91.83084098483998,1.3725240708350428,2.390622777238458,2.0205880727542564,4.130476618268188,2,4,0.0,0.0372670807453416,2,9,0.5217391304347826,0.2360248447204969,13,INT,DAPI,9.0,2.11,16.0,False,1
260327,260327/9D-405-01,9D-405-01,4,116,0.3258448471960521,2.4511862656431918,644.1106619969895,837.3384118582604,523.4954720675648,1.599514143935498,0.8721804511278195,0.7804727141238339,416.9827586206897,394.5,48370.0,722.0,246.0,120.69242134332688,0.2894422343565416,3.239939038019762,0.4410696172873467,-0.8255501235775111,63.44002121006106,32.09189319610596,7359.042460367084,385.3992614746094,0.0,82.10853649860209,1.2942703191527365,2.3807920144743986,1.722962524999347,2.682672355689625,1,2,0.0,0.043103448275862,1,5,0.4913793103448275,0.25,13,INT,DAPI,9.0,2.11,16.0,False,1
260327,260327/9D-405-02,9D-405-02,1,412,1.1573110090066678,5.043185989566974,1213.8921460429017,1527.897708653418,976.5330870522502,1.5646143780601534,0.9135254988913526,0.7690944655719784,1419.5970873786407,1366.0,584874.0,2744.0,679.0,511.390345471654,0.3602362600052686,3.277912772669055,0.3601920895816083,-0.9266243969616714,144.09401039475375,45.24904441833496,59366.73228263855,1850.8187255859373,0.0,244.1563912347507,1.694424289849872,1.788018253975027,3.1866273867764403,13.919380246956097,2,5,0.0315533980582524,0.1019417475728155,3,31,0.5436893203883495,0.2257281553398058,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,2,237,0.6657347309091753,3.089070391906991,920.6735500149792,1012.965222814291,841.774801418163,1.2033684319223128,0.9404761904761904,0.5562713810935493,1460.9535864978902,1398.0,346246.0,2684.0,687.0,532.6780377530647,0.3646098292759377,3.3321042394624723,0.3619576860132344,-1.0109560396752415,174.63393582246474,60.527320861816406,41388.24278992415,1686.49365234375,0.0,260.5059628048617,1.4917258869415604,2.02322353574572,2.353332235111558,6.932048116980187,1,4,0.050632911392405,0.1181434599156118,1,14,0.5358649789029536,0.2447257383966244,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,3,220,0.6179816067511332,3.0890703919069904,887.0392435707212,966.1908384107496,820.6826119290066,1.177301461450155,0.9128630705394192,0.527749410176618,1288.3363636363636,1197.0,283434.0,2551.0,684.0,455.964606037924,0.3539173611082061,3.1848996624468597,0.5289877536950182,-0.7982289989022404,135.9148543482477,49.24578857421875,29901.26795661449,1907.780517578125,0.0,237.8178294427647,1.74975598203134,1.6540724646542282,3.777650699482935,20.3310757816046,1,4,0.0,0.1227272727272727,3,12,0.55,0.1818181818181818,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,4,261,0.7331509061911172,3.3888840568878518,966.1659929954842,1187.4362264318784,791.0063332159947,1.501171579251608,0.925531914893617,0.745821032283592,1404.5785440613026,1378.0,366595.0,2568.0,678.0,477.9303362490216,0.3402660095227557,3.3017415330851323,0.2452470888512508,-1.0607100341029112,157.11350062523766,68.79443359375,41006.62366318703,1779.548583984375,0.0,231.45039677937376,1.4731413650533551,1.9457079725600628,2.742887446801347,11.327180907334087,1,4,0.0229885057471264,0.0919540229885057,2,14,0.5172413793103449,0.2183908045977011,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,5,206,0.5786555045033339,2.9209768109968834,858.3513680960267,940.5483276444106,786.870744159515,1.1953021949609326,0.9237668161434978,0.5478012273206274,1691.9271844660195,1537.0,348537.0,3298.0,677.0,747.8517653684567,0.4420117911897505,3.304097518893207,0.4334339265229696,-1.0060842372300485,262.9981060629909,73.86944580078125,54177.609848976135,2514.819580078125,0.0,433.3882505292644,1.6478759372718188,1.9165948008150515,2.9007291446188885,10.317584624980285,1,4,0.145631067961165,0.1796116504854369,1,11,0.5776699029126213,0.2233009708737864,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,6,143,0.4016880443882366,2.2903027594801983,715.1539014522932,762.9769013383601,672.4668933049966,1.1345939985067977,0.9470198675496688,0.4724218844729999,1279.6083916083917,1206.0,182984.0,2244.0,693.0,400.13349946470834,0.3126999651524356,3.262925890233523,0.3699992737053352,-0.8924958010667519,174.39443572876337,80.6857681274414,24938.40430921316,1493.440185546875,0.0,261.60366639582065,1.5000688829470126,2.094930412077197,2.385738274228624,6.773339226674466,1,3,0.0,0.0559440559440559,1,4,0.5174825174825175,0.2307692307692307,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,7,92,0.2584286719141103,2.118442579644642,573.6214819673636,601.2634591405366,574.5000372011001,1.0465855878266344,0.8598130841121495,0.2950298753288409,936.858695652174,901.0,86191.0,1467.0,679.0,178.2664126513984,0.1902810033985991,3.068070844600851,0.6136576463400155,-0.3459039538558284,94.55801389269207,56.97553253173828,8699.33727812767,750.493408203125,0.0,122.46151462507493,1.2950939807603064,2.225195754799145,2.4917587998698254,9.004024280871212,1,1,0.0,0.0108695652173913,1,4,0.4456521739130434,0.217391304347826,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,8,92,0.2584286719141103,1.8663022082794816,573.6214819673636,669.786292101505,496.6923052027805,1.3484933933656509,0.9292929292929292,0.6708773397943824,1505.2934782608695,1387.0,138487.0,2631.0,677.0,599.7738683402376,0.3984431454743179,3.194794868131432,0.3657827149299892,-1.1820954842470035,318.6022915645786,175.67635345458984,29311.41082394123,1564.432861328125,0.0,390.5309209987151,1.225763063664459,2.5227525670826605,1.6888818297775954,2.3338428202589627,1,2,0.0434782608695652,0.1739130434782608,1,2,0.4673913043478261,0.2391304347826087,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,9,85,0.2387656207902105,1.7784888188989791,551.3672372505789,607.3810123639599,504.9934639430034,1.2027502447685392,0.934065934065934,0.5556327919613597,1389.3058823529411,1357.0,118091.0,2567.0,685.0,511.798626310737,0.3683844089423635,3.189434912828583,0.4358888012671075,-0.8663006205622832,287.2246149960686,140.280517578125,24414.092274665836,1831.86669921875,0.0,377.2498077577332,1.3134313288674675,2.3793525879241963,2.0158117127214505,4.539531424955462,1,2,0.0117647058823529,0.1058823529411764,1,2,0.5058823529411764,0.2470588235294117,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,10,95,0.266855693824353,1.8844889566991585,582.8989810549554,743.7162939586905,458.1650022994439,1.6232498995473643,0.931372549019608,0.7877085444286308,1615.4421052631578,1460.0,153467.0,3074.0,683.0,657.1125217901368,0.4067694655532655,3.1883864574957244,0.4462889265440595,-0.9908008224323148,412.6999728152626,174.34295654296875,39206.49741744995,3074.0,0.0,567.7410318010087,1.3756749919999325,2.2602549953783373,2.249028059613665,5.8592611515505695,1,2,0.0631578947368421,0.1684210526315789,1,2,0.5473684210526316,0.2210526315789473,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,11,76,0.2134845550594824,1.864418908816757,521.3606982616968,587.2607574892371,485.51581141399816,1.209560520344169,0.8636363636363636,0.5625745502419529,895.1052631578947,863.0,68028.0,1314.0,682.0,154.6876059631039,0.1728149887281104,3.07738480902234,0.6873146469601503,-0.2653382092968845,91.16240004489296,57.40605163574219,6928.342403411865,585.9971313476562,0.0,103.6667584963532,1.1371657442684973,2.418988500860405,2.07219100260574,6.475647323781345,1,1,0.0,0.0,2,2,0.3815789473684211,0.2894736842105263,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,12,60,0.1685404382048545,1.5043951001886928,463.2411367845194,490.67697270132606,444.273367881492,1.1044483153269091,0.9090909090909092,0.4244968332135766,1102.6333333333334,1103.5,66158.0,1718.0,680.0,294.00051692948136,0.2666348894429831,3.084844107533612,0.345620546852638,-0.993847982012563,194.44675629138948,125.96728515625,11666.805377483368,883.5023803710938,0.0,228.768108355598,1.176507712027739,2.5962136142586214,1.57012855101904,1.906256625236613,1,1,0.0,0.05,1,1,0.4166666666666667,0.2,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,13,63,0.1769674601150972,1.7326988247460038,474.6809121398126,562.8150698338263,420.66183454518426,1.337927578912256,0.8513513513513513,0.6643466347557884,1049.3492063492065,1035.0,66109.0,1787.0,677.0,281.16251520968683,0.2679398940871934,2.9825649168608948,0.5046913742189254,-0.576408640752518,173.4436355166965,117.99887084960938,10926.94903755188,1182.5794677734375,0.0,200.0506672979197,1.153404486143061,2.364090598593205,2.626145623460302,9.976364915667684,1,1,0.0,0.0317460317460317,1,1,0.365079365079365,0.2222222222222222,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,14,48,0.1348323505638836,1.2795348514530474,414.3354687297855,501.889409907955,344.58660495095273,1.4564971554230677,0.9411764705882352,0.7270554425944933,1035.2708333333333,1013.0,49693.0,1549.0,685.0,257.57616015489833,0.2488007503558875,3.086146442377625,0.250417697609128,-1.2269256390694578,178.77975953618684,125.54447555541992,8581.428457736969,883.0782470703125,0.0,192.515009410172,1.076827767917458,2.537320434620155,1.5743749965019784,2.9169456051642246,1,0,0.0,0.0,1,1,0.4583333333333333,0.2916666666666667,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,15,36,0.1011242629229127,1.2045814352078323,358.8250416089271,501.467804279028,264.45408551613986,1.896237690184684,0.9230769230769232,0.8496419124504996,886.25,853.5,31905.0,1190.0,700.0,135.10998165515804,0.1524513192159752,2.8562065812933084,0.5676864490323802,-0.4670682694671484,145.81550672319202,117.42201232910156,5249.358242034912,515.3228149414062,0.0,139.0496606570808,0.9535999550517276,2.5777078719572835,1.2826010706027724,1.2920048739660732,1,0,0.0,0.0,1,1,0.3888888888888889,0.1944444444444444,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-02,9D-405-02,16,30,0.0842702191024272,1.074744650599803,327.56094914489864,447.5295287219007,257.65431801688385,1.7369378171747716,0.8823529411764706,0.8176427988007432,830.6666666666666,833.5,24920.0,1027.0,679.0,107.530054606506,0.1294503065086348,2.9504258637418843,0.1402254000526877,-1.1842026780315626,120.05964597066244,101.48138046264648,3601.789379119873,305.1075134277344,0.0,95.16311405445585,0.7926319729254386,2.607208192387027,0.7188123853553198,-0.5480409848981704,0,0,0.0,0.0,0,0,0.3,0.2,13,INT,DAPI,9.0,2.11,16.0,False,2
260327,260327/9D-405-03,9D-405-03,1,420,1.1797830674339818,4.783512420350916,1225.620844986693,1522.2031388103617,1020.7262316377336,1.4912942291764355,0.9170305676855895,0.7418566689734731,1444.104761904762,1400.5,606524.0,2685.0,614.0,563.7559844481799,0.3903844093032354,3.366821357244703,0.3032839012789815,-1.0837389963314488,208.6152352801391,76.77701950073242,87618.39881765842,2175.873046875,0.0,324.1515977155833,1.5538251426378142,1.974331928728892,2.455355612231152,7.251246362004027,1,7,0.0928571428571428,0.1523809523809524,5,32,0.5571428571428572,0.2238095238095238,13,INT,DAPI,9.0,2.11,16.0,False,3
260327,260327/9D-405-03,9D-405-03,2,213,0.5983185556272336,3.005023601451937,872.8131789641005,906.9051952481288,846.1566160482759,1.071793540401021,0.922077922077922,0.3598361465651437,1197.2018779342725,1130.0,255004.0,2143.0,618.0,412.7758558422089,0.3447838359178307,3.303234584325801,0.3635451285473777,-1.014692488235293,181.5354669755193,73.94874572753906,38667.05446578562,1671.7181396484375,0.0,288.04042323906623,1.5866895215462742,2.028521212847961,2.4233414596951834,6.198056461832351,1,4,0.0,0.107981220657277,2,11,0.5352112676056338,0.1924882629107981,13,INT,DAPI,9.0,2.11,16.0,False,3
260327,260327/9D-405-03,9D-405-03,3,186,0.522475358435049,2.740023256951489,815.6201858151763,871.555427227899,768.2334545650605,1.134492935772154,0.9346733668341708,0.4722753752486582,1199.241935483871,1154.0,223059.0,2111.0,616.0,385.958897916032,0.3218357251327315,3.3103958350409,0.2957362497610394,-1.050710438675369,182.73254641473932,61.59712028503418,33988.25363314152,2111.0,0.0,279.2469233314453,1.5281728887948176,1.826675909458724,2.8002870239453905,12.329428923207429,1,4,0.0,0.075268817204301,4,11,0.543010752688172,0.2419354838709677,13,INT,DAPI,9.0,2.11,16.0,False,3
260327,260327/9D-405-03,9D-405-03,4,133,0.3735979713540942,2.3213494810351625,689.6953754817175,728.1753803618716,660.5102761945924,1.1024436812052631,0.910958904109589,0.4209672990432431,1042.2857142857142,1009.0,138624.0,1698.0,621.0,272.1961350400405,0.2611530900877581,3.2718468297810466,0.4456633869967024,-0.7000580208669462,141.59533249794092,83.3133316040039,18832.179222226143,1449.6517333984375,0.0,208.612227878948,1.4732987606210937,1.9830003468088049,3.1595753150604,13.474145789865958,1,3,0.0,0.0300751879699248,2,5,0.4736842105263157,0.2030075187969924,13,INT,DAPI,9.0,2.11,16.0,False,3
260327,260327/9D-405-03,9D-405-03,5,125,0.3511259129267802,2.171442648544732,668.6309875556262,766.2563860227517,587.383571839885,1.3045247139319478,0.9191176470588236,0.6421694570800506,1178.664,1130.0,147333.0,1996.0,614.0,400.7873690946441,0.3400353019135598,3.3141055113786573,0.4365230012996401,-1.0186404992533338,220.1021754169464,126.08943176269533,27512.7719271183,1325.7984619140625,0.0,288.04655890737,1.3086947385309318,2.43259254013178,1.8681539696336944,3.0507495688224733,1,3,0.0,0.136,2,4,0.464,0.192,13,INT,DAPI,9.0,2.11,16.0,False,3
